J-c	J-itc	J-pc	J-poal	J-rh	J-ta	J-taa	J-tamb	J-tap	J-tb	J-te	J-tgb	J-tit	J-to	J-toh	J-tots	J-tr	J-tsf	J-tsop	J-tsotp	J-ttm	J-twotd	J-waw	J-wmk	J-ws	T-acyikac	T-adbds	T-ata	T-cfma	T-cs	T-fteajatw	T-ia	T-lotm	T-proja	T-ri	T-snao	T-tac	T-taohf	T-taots	T-tet	T-tgaatot	T-tms	T-tpatp	T-tsa	T-tsd	T-ttopw
J-c	0	21.9630324687136	16.0890672010288	12.4774118804512	18.9128808808819	16.717994671604	20.2826933952287	18.7769874787769	20.1224941727438	14.8640887374391	15.2880748431375	22.0152211438491	25.5123624418503	20.6135098455346	20.4390501434645	18.3069984172069	15.068283093264	21.7090102819767	15.6217867220833	22.0433152135092	14.2937720107513	20.6419259255687	22.0404812837687	21.617259117416	11.8987660778348	63.7543580653172	58.8158430728587	64.0937976921154	57.7487063425471	51.9259396750792	65.4285047207084	64.8888311759364	61.6900739568123	62.7591108434378	63.4121247332085	55.4516054973526	55.8249361835248	71.1298664618216	64.1722813243378	51.2907848294137	49.9101633248359	62.0292605853724	63.8352460836015	68.4059386257101	62.7835593746669	52.8516877997589
J-itc	21.9630324687136	0	20.3904547083108	26.129885903012	27.2486261627447	24.1943094037234	26.6646518686597	23.1239371518977	23.4113863242134	19.8634148332601	22.7959866796807	20.6099353868067	27.2480236657889	23.4133640422156	28.5189680446508	19.0240252631858	22.8708980459843	25.7711162771745	20.7346474526516	23.3707295534391	20.2771633954818	22.6569864543973	31.6835641231432	20.8951215150762	25.4709862125018	63.2075724319981	58.2690574395396	63.5470120587963	57.2019207092279	52.9719299497963	64.9799812608697	64.3420455426173	61.1432883234932	62.2123252101187	62.8653390998894	54.9048198640336	55.528444162613	70.1801967733709	63.6254956910187	51.2609257931244	49.3042181000714	61.9225671195206	63.1345977522296	68.133335822207	63.020532700291	52.3049021664398
J-pc	16.0890672010288	20.3904547083108	0	14.0525000497893	17.0215398467028	14.2005693020515	25.0017349500971	19.5359839603426	18.446761806033	9.75358717641367	14.1027110239867	23.209924396041	22.950741257339	22.0798523607654	24.2355248785417	16.6715691131771	15.2969888354041	26.2033272278874	13.651185319995	20.0521586244895	9.18263054950504	21.9809824593071	20.0311134716805	20.2132923139192	16.2025815316404	60.488291792781	55.5497768003224	60.8277314195792	54.4826400700108	47.948866099994	62.1624384481722	61.6227649034002	58.4240076842761	59.4930445709015	60.1460584606723	52.1855392248165	52.3100233613314	67.5140906391489	60.9062150518015	48.0839620090496	46.5849374608542	58.6284600158162	60.3250113900791	65.1398723531738	59.5174931021306	49.5856215272227
J-poal	12.4774118804512	26.129885903012	14.0525000497893	0	22.5917794796558	19.9737690308937	19.2771851452388	18.4831953270427	17.0453580448962	12.7952121090419	15.1634838959672	19.8730271163842	25.94888833532	20.3387317248346	17.3987666142548	19.194524950679	14.5214641246232	20.2519821756788	13.12868769017	22.6242589639839	14.5429439353127	19.5046294804502	23.6779822099043	19.1502738319352	9.84970863287562	69.2876445622637	64.3491295698051	69.6270841890619	63.2819928394935	55.5297419185069	70.9617912176549	70.4221176728829	67.2233604537588	68.2923973403842	68.945411230155	60.9848919942991	61.1093761308141	76.6545748140159	69.7055678212842	56.8923553974117	55.3842902303369	67.0345754540399	69.1243641595618	73.9392251226566	68.3168458716134	58.3849742967054
J-rh	18.9128808808819	27.2486261627447	17.0215398467028	22.5917794796558	0	12.7637757426745	32.0311679420627	29.7733633441878	24.5315471418242	21.8364735540662	17.0586808982622	34.3108283578175	32.7758235159453	30.98589754468	32.3493480977692	24.4845328874245	25.1122651128405	36.1153279450903	24.3812476627484	31.112502234121	18.769155637049	34.3539637935205	14.3935077132051	30.8374631710011	22.8146627613287	47.8363375108494	43.5318782332513	47.9017728044538	41.567136476821	39.558412040833	49.2632170951159	48.6968062882748	45.4980490691507	46.5670859557761	47.2810772862915	39.259580609691	39.8336012402885	54.646110055768	47.9802564366761	36.6148714900704	33.9017005597373	46.5708770027602	48.3581989354775	52.2139137380485	47.1619833147681	36.6596629120973
J-ta	16.717994671604	24.1943094037234	14.2005693020515	19.9737690308937	12.7637757426745	0	28.623799847567	27.3151038573152	20.1855504182386	17.5107155127123	15.2239310073577	31.692875984917	29.7242006654779	28.0503191882516	31.5097143067654	20.0136432029403	21.7802523849945	32.6683674444233	22.201370930329	27.1742920272379	15.7117697285272	31.2595759968426	15.3005648855019	28.2756389877039	19.481324326297	50.5601023465022	45.6215873540437	50.8995419733004	44.554450623732	43.3232061616921	52.2877397619291	51.6945754571214	48.4958182379973	49.5648551246227	50.2178690143935	42.2573497785377	42.4666754791196	57.5372499735838	50.9780256055228	39.3198490667534	36.6567480145755	48.5474017592223	50.3968219438004	55.4205816352793	50.1479621646347	39.6574320809439
J-taa	20.2826933952287	26.6646518686597	25.0017349500971	19.2771851452388	32.0311679420627	28.623799847567	0	15.7018790993914	22.2979471731321	23.2636458737951	24.0951815097085	17.9478842154239	23.042709646414	16.1666443561023	16.9927419301437	26.0023768515329	20.2749454209021	17.9855901753171	19.1169532091129	19.570040767266	22.0378199727881	16.5528605119769	30.7695638445995	16.1378288377044	20.231302456954	75.7220537758908	70.7835387834322	76.061493402689	69.7164020531206	61.6062337863133	77.396200431282	76.8565268865099	73.6577696673859	74.7268065540113	75.3798204437821	67.4193012079262	67.5437853444412	82.6946781172635	76.3830836961613	63.1437012381802	61.818699443964	73.8286727803287	75.5587733731889	80.3736343362836	74.7512550852404	64.8491917995184
J-tamb	18.7769874787769	23.1239371518977	19.5359839603426	18.4831953270427	29.7733633441878	27.3151038573152	15.7018790993914	0	24.3576646403054	18.3994857416452	23.671299631453	12.868748543956	17.7845623360685	15.9322440382646	16.8775287588622	19.7000346216626	18.4860355088931	15.547981758623	14.1687378426418	15.2504100363382	18.4803509496764	12.5328935480457	28.976725841777	14.8627327965805	20.6820837038079	73.7802456367735	68.8417306443149	74.1196852635717	67.7745939140033	59.9058264925716	75.4543922921648	74.9147187473926	71.7159615282686	72.784998414894	73.4380123046648	65.4774930688089	65.601977205324	80.7528699781463	74.2430575731996	61.2018930990629	59.8869148226833	71.723914751265	73.6169652340716	78.4318261971664	72.8094469461232	62.8775753712152
J-tap	20.1224941727438	23.4113863242134	18.446761806033	17.0453580448962	24.5315471418242	20.1855504182386	22.2979471731321	24.3576646403054	0	15.6924911187266	17.9839917632106	25.620910440375	29.4906875661977	26.2072288980362	25.62236973044	22.0039892172387	19.4507743232487	25.3044720139695	20.744897216099	25.6527487156028	17.3363467372515	22.9739956882272	24.6641643336393	19.6707890717635	20.4127469422358	64.2850398814782	59.2776441574731	64.5555987767299	58.2105074271615	52.6502281484712	65.890305805323	65.3506322605509	62.1518750414268	63.2209119280522	63.873925817823	55.9134065819671	56.0378907184822	71.1887834913044	64.6340824089522	53.2640407230298	50.3916505189468	62.005383866085	64.0528787472299	68.8677397103245	63.375119614084	53.6830003671462
J-tb	14.8640887374391	19.8634148332601	9.75358717641367	12.7952121090419	21.8364735540662	17.5107155127123	23.2636458737951	18.3994857416452	15.6924911187266	0	15.7093314408823	20.1203631997618	23.4545171351411	21.4314834572197	20.715911863676	16.3709991461251	12.5654747904279	21.8029937468454	11.0666495728832	19.808253993477	10.2131400001439	19.0328307012591	22.5869196094446	17.440969313809	14.9121730618631	65.1243076923008	60.1857926998422	65.463747319099	59.1186559695306	52.4969817661415	66.798454347692	66.2587808029199	63.0600235837959	64.1290604704213	64.7820743601921	56.8215551243362	56.9460392608512	72.0969320336735	65.5422309513213	53.1848392537732	51.220953360374	62.9424697116074	64.9610272895989	69.7758882526936	64.1535090016504	54.2216374267425
