DC1423.D1023	DC1423.D1400	DC1423.D19337	DC1423.D40723	DC1423.D564	DC1423.D580	DC1423.D588	DC1423.D650	DC1423.D675	DC1423.D699	DC1423.D700	DC1423.D730	DC1423.D766	DC1423.D821	DC1423.D872	DC1423.D882	DC1423.D883	DC1423.D914	DC1423.D916	DC1423.D917	DC1423.D963	DC1423.D967	DC1423.D968	DC1423.D98	DC1423.Dal2324	DC1423.Dal28198	DC1423.DC1423	DC1423.C1438	DC1423.C155	DC1423.C1586	DC1423.C1587	DC1423.C1588	DC1423.C1621	DC1423.C1622	DC1423.C1623	DC1423.C1624	DC1423.C1626	DC1423.C1627	DC1423.C1628	DC1423.C1629	DC1423.C1630	DC1423.C170	DC1423.C1895	DC1423.C1917	DC1423.C1975	DC1423.C28367	DC1423.C3606	DC1423.C3632	DC1423.C3633	DC1423.C4605	DC1423.C583	DC1423.C7891	DC1423.C7893	DC1423.C7894
D1023	0	4.1350899244743	4.36463160559852	3.54116300568964	4.19149882230027	5.86921246067999	3.88922140603234	12.5277379856681	8.75885341005962	5.61395124066628	4.26438352451546	4.80051465630813	2.24763329113348	3.64225950263066	7.14631558368718	6.26186227376969	3.16885037407125	6.09268333182007	7.44402855973901	4.90136041698643	2.95259082619198	4.62340499748379	3.94492310791835	2.58960880912436	4.91960226908874	3.92940427833887	5.96574142535275	12.3372678290606	10.0515575994202	11.9808189271363	14.2779524352134	7.15179034588022	11.8728314998814	12.438118095237	15.00362968388	14.7714181190521	6.75033701804709	13.7144320471715	14.9056650786375	13.744577530508	13.8631996740636	12.1184806837506	10.8000082871557	9.3638267841218	14.9709320150932	7.43858910361737	9.26739404588234	13.5698001638564	12.6753113449413	8.85525256217461	9.9360053823779	11.2329532253564	6.56607245528776	10.0652045555261
D1400	4.1350899244743	0	6.1887308145898	5.84030868839178	7.20375122023195	8.57371092837401	6.7169941323716	13.4070300491459	9.62863236561162	7.61039892938344	6.95564265871522	7.15025871627705	4.2849809269856	6.32729567556578	7.98886163112228	8.81371565719377	5.04801634713527	7.56375164196551	10.0906279256951	7.24223796385159	5.7376611285348	7.68351605008059	6.23342757159701	4.69165867127956	5.81874486075644	5.64040931380797	7.41278825328813	12.9095346028734	10.5637341374204	12.6349314963296	14.3083969224301	8.54984994861144	13.0520477622983	12.6196038227501	15.0197943909618	15.0466627319047	8.06207224668873	13.2471266522408	15.043042268363	13.6026762830736	14.0981099693871	13.9575777546888	11.0937013743629	8.89954122929484	14.5036266201625	9.52661428053459	12.0077468739622	13.8028764216316	13.2305809974452	8.56455612418747	10.1462923009472	11.6021639738761	7.0043000155904	10.3462692421123
D19337	4.36463160559852	6.1887308145898	0	4.524683214698	3.88462724529611	5.24645508251501	4.8886678774739	10.0457283798065	7.0646904612845	7.21632039759172	4.03448070576906	4.25149874406023	4.62991231737682	3.39841986380908	5.48043973125104	5.08721344529463	4.08789883959509	5.59214595733985	6.11356439368023	3.61921286654657	4.50573137815858	4.65500569803353	3.67688036011585	4.48451326170262	7.03147632759842	2.95072206484803	8.40908692501075	15.1467484873937	12.8610382577533	14.7902995854694	17.0874330935465	9.75052400688266	14.3880286000458	15.2475987535701	17.8131103422131	17.5808987773852	9.58046947271881	16.5239127055046	17.7151457369706	16.4814567015138	16.6726803323967	14.4078964241928	13.6094889454888	12.1733074424549	17.7804126734263	8.07319004956459	9.59128622189138	16.3792808221895	15.4847920032744	11.8611112934546	12.745486040711	14.0366466185882	9.49307614415866	12.8746852138592
D40723	3.54116300568964	5.84030868839178	4.524683214698	0	5.82636519960883	5.80009907818093	3.88651052383591	11.173042107046	8.23044531866318	5.40615948168034	3.80968834320908	4.93198420819359	4.43847031984474	4.14154507947706	6.85649568302964	5.59316655626489	5.14777503663603	5.89353735335565	6.72483161826681	4.34698902659353	5.47309081635452	4.76646634150911	4.67722989182591	4.06802543985286	6.82411066910044	3.37421013810729	7.50788974051555	14.3012633008383	12.0155530711979	13.944814398914	16.2419479069911	9.51906050984444	13.5532309378539	14.4021135670148	16.9676251556577	16.7354135908298	9.15351874040283	15.6784275189493	16.8696605504152	15.6359715149584	15.8271951458413	14.0534752177062	12.7640037589334	11.3278222558995	16.9349274868709	8.11540204339025	10.1156030747872	15.5337956356341	14.639306816719	10.7423394324641	11.9000008541556	13.1911614320328	8.24546121908154	12.0292000273038
D564	4.19149882230027	7.20375122023195	3.88462724529611	5.82636519960883	0	3.56068875111086	5.11562381113885	12.6645033568565	8.53413784552115	6.71260202635185	5.02562569664941	3.68706458491862	4.13722134405591	4.05381068535837	6.34207448576349	4.80588089417218	2.9835346464602	6.32918389857036	6.80687358964644	4.47210041254224	2.69551568215197	3.60017516859414	3.0523485446694	4.16954628439015	6.79962136041801	5.50587784269808	5.60857608503942	12.3183440176243	10.0326337879839	11.9618951157	14.2590286237771	7.43856089829157	11.1944166243249	12.4191942838007	14.9847058724437	14.7524943076158	7.12480489060982	13.6955082357353	14.8867412672012	13.6530522317444	13.8442758626273	11.5794919544234	10.7810844757194	9.62609936780979	15.0614903857797	5.87044036550624	7.69549221248605	13.5508763524201	12.656387533505	9.48905262312366	10.148650406661	11.4760823037862	6.32556597276949	10.0462807440898
D580	5.86921246067999	8.57371092837401	5.24645508251501	5.80009907818093	3.56068875111086	0	5.94751296198457	11.7946126306829	8.40813564911523	6.32781928632667	5.09982025316525	3.19450042687008	5.93472671458707	4.33710771348753	6.82139000153885	4.73931741407042	4.37448541176568	6.55417212005534	7.72829138567622	4.87361883900522	4.16592656921531	3.1726662962077	3.2970476676755	5.23102236261627	7.71687315642903	5.17283158617962	6.47575826696318	13.605989575315	11.3489386873953	13.2495406733906	15.5466741814678	8.30328304665105	12.4820621820156	13.7068398414914	16.284103552898	16.0401398653064	8.2305693507463	14.9831537934259	16.1743868248918	14.9406977894351	15.131921420318	12.8671375121141	12.1683824501112	11.2626021920181	16.5961756914527	6.51505854157508	8.21238876016647	14.8385219101107	13.9440330911957	11.0641331786231	11.6833357123339	12.4958877065095	7.60347414617349	11.3339263017804
D588	3.88922140603234	6.7169941323716	4.8886678774739	3.88651052383591	5.11562381113885	5.94751296198457	0	11.2222257721241	7.74689054936428	5.21000725982046	3.64524673538108	4.70727268771349	3.94297055000924	4.09633892350716	6.19644560677286	5.88735573276481	4.70459912627727	5.39379959384003	5.90941367964743	3.96157066626121	4.48978287226944	4.08669233856293	4.73945962185083	3.60616991353722	7.46068877405696	4.34895196953313	6.87009423189261	13.3939501294281	11.1394458932807	13.0375012275038	15.567460337834	8.75541537820284	12.3320402873043	13.6513635595686	16.0603119842475	15.8281004194196	8.10457962386591	14.9511838816412	15.9874518781761	14.7286583435483	14.9335607909725	12.6897255883317	11.9115720133075	10.6548810553243	16.2572984773181	6.47959435325317	8.02670877229832	14.6391515889043	13.9676680474486	10.3079152876658	11.1747914628201	12.5911612297135	8.15748985780776	11.3049137874632
D650	12.5277379856681	13.4070300491459	10.0457283798065	11.173042107046	12.6645033568565	11.7946126306829	11.2222257721241	0	6.01585971379863	11.2464703881767	9.73165015799817	10.8890247262797	12.9119164379306	10.8559603570871	6.95491900135881	9.12360333178564	13.1823738651962	7.60628134899404	8.74713388737694	9.73036522133522	13.042459072079	11.664268505906	11.7432138828783	11.9544157847245	14.9221805307368	10.3721648169658	16.9142465171483	23.7584116909721	21.8260808188147	23.3923065674104	25.6894400754875	17.9964963362918	22.6248280760353	23.8496057355111	26.7612456843173	26.1829057593262	17.9183088800831	25.1259196874456	26.3171527189116	25.0834636834548	25.2746873143377	23.0099034061338	22.2114959274297	20.7753144243959	26.3824196553673	10.4114441880081	17.3478265088277	24.9812878041304	24.0867989852154	21.2627511753754	21.347493022652	22.6386536005292	17.7175384839341	21.4766921958002
D675	8.75885341005962	9.62863236561162	7.0646904612845	8.23044531866318	8.53413784552115	8.40813564911523	7.74689054936428	6.01585971379863	0	8.24280357691326	6.23340352058146	7.06971772324813	9.07494233291222	7.02959437323634	4.83362890094512	4.74552667499099	8.43718778603639	3.71326623245701	5.75396529074023	6.15339873489859	8.38821424291832	7.44989376359991	7.19432277673611	8.44023471199408	11.0112461185606	7.22675206921967	13.3097566101045	20.4470734415343	18.161363211894	20.09062453961	22.3877580476872	14.5456390746696	19.323146048235	20.5479237077108	23.1134352963537	22.8812237315258	14.6166268522828	21.8242376596453	23.0154706911112	21.7817816556545	21.9730052865374	19.7082213783335	18.9098138996294	17.4736323965956	23.0807376275669	7.85605299982171	14.5017895626289	21.6796057763301	20.7851169574151	17.2341357631534	18.0458109948517	19.5028764992126	14.3912713597776	18.1750101679998
D699	5.61395124066628	7.61039892938344	7.21632039759172	5.40615948168034	6.71260202635185	6.32781928632667	5.21000725982046	11.2464703881767	8.24280357691326	0	5.96155747432778	6.75214310271669	6.8011758717568	5.75752605875622	6.16078521942182	5.80901494622603	6.79231191078999	5.46914778417601	6.90798807050911	6.78316156213105	6.28012950785956	5.43235891876551	6.82214214815067	5.72191422043766	7.75665387065164	5.12493114720455	6.73432243964663	13.3326532514986	11.5469086647465	12.5266573933922	14.812732973029	8.47779386905736	12.9468441282255	13.0644209940453	16.1644020761637	14.9364353711494	7.72431903068535	13.9480079533177	15.5057967796236	13.8369932952781	14.028216926161	12.7390833915204	11.5082607824654	10.1896049248866	15.2912039820155	5.69895501621933	8.51455946392024	14.2045574851721	12.9944166444098	10.7291285470583	10.1010226344753	11.9009326532906	8.35785220062462	10.6799467110978
