DC1423.D1023	DC1423.D1400	DC1423.D19337	DC1423.D40723	DC1423.D564	DC1423.D580	DC1423.D588	DC1423.D650	DC1423.D675	DC1423.D699	DC1423.D700	DC1423.D730	DC1423.D766	DC1423.D821	DC1423.D872	DC1423.D882	DC1423.D883	DC1423.D914	DC1423.D916	DC1423.D917	DC1423.D963	DC1423.D967	DC1423.D968	DC1423.D98	DC1423.Dal2324	DC1423.Dal28198	DC1423.DC1423	DC1423.C1438	DC1423.C155	DC1423.C1586	DC1423.C1587	DC1423.C1588	DC1423.C1621	DC1423.C1622	DC1423.C1623	DC1423.C1624	DC1423.C1626	DC1423.C1627	DC1423.C1628	DC1423.C1629	DC1423.C1630	DC1423.C170	DC1423.C1895	DC1423.C1917	DC1423.C1975	DC1423.C28367	DC1423.C3606	DC1423.C3632	DC1423.C3633	DC1423.C4605	DC1423.C583	DC1423.C7891	DC1423.C7893	DC1423.C7894
D1023	0	30.2950457945428	52.436098835854	49.7637030276105	43.0767652742139	44.045404558318	43.6376605999362	50.2244525110734	38.2138441368929	55.2976703588481	37.4026451809464	39.4288719586509	27.5810967230063	34.8136780090068	38.0810148743963	43.0138580686007	34.1557314668622	44.0038836314708	51.3066319024618	38.9196998749326	29.3779333341938	39.2860097113554	30.4125680318707	38.7661750655304	53.5097339158585	43.6523079999509	65.7020195699348	120.246093525722	109.04495761762	115.910014172056	115.674748573389	85.3686948671435	102.195989673824	118.325505260936	116.568157364935	117.309761383328	88.5513383658583	115.075028810905	110.197448620606	117.935342367065	116.903477403114	109.646614275387	114.797701305921	100.690520535542	114.232679907619	71.4726002007232	88.2028417754435	118.302116177301	111.080163929992	94.7465384929608	115.839168319538	106.314929534877	82.3997501129526	106.248952254375
D1400	30.2950457945428	0	45.552333343491	42.919583615503	35.3582581268658	42.2167156955246	36.5931288524062	51.8299515985205	35.7681925513486	52.7849859093331	31.5264210039054	38.8535089299175	34.003621503757	33.9012610853167	32.9621532847312	40.6000552006529	30.2342151033249	37.4132383822073	50.1377375362791	36.266825339261	30.5866104302845	35.5963094677228	31.7236101583911	32.0925480745852	51.1590327993445	38.4846824332138	62.6741876671794	117.748992106802	105.109886939475	113.130413615185	112.895148016518	83.9442948733363	97.3303223202535	115.545904704065	112.715029995069	114.074765360184	85.9003389850034	112.295428254034	107.754970571813	115.155741810194	114.123876846243	106.867013718516	112.01810074905	96.8426702960389	111.453079350748	63.819162249397	83.2484626639553	115.52251562043	108.300563373121	92.5923390713169	113.059567762667	102.334646179235	79.4220785440518	102.921600862627
D19337	52.436098835854	45.552333343491	0	47.4997720332705	46.2498579462858	57.5478785457176	37.8157010214853	56.0928361879428	42.4490473654244	62.646008132705	46.0991491543044	48.4506346139037	48.9501049026387	47.3705496531483	54.5255433561148	47.4442131704682	43.5431507942546	51.1475819816383	48.1907577927687	47.8962768392625	40.7501150582978	45.6168125081985	44.1117918243669	42.7061012005165	53.3811361948764	42.3377018611955	64.6378460120182	116.759582294363	107.44966282448	112.598148520668	113.107682557646	82.5297753530939	96.8349710260016	114.731040094889	112.628397107793	114.466628376879	87.3094169608549	111.456828280468	108.341737938379	116.59741378715	114.2482261388	108.273670618655	111.179500775484	96.1799104732708	111.432405569494	67.223136851089	86.5740509983398	114.683915646864	107.894637100815	93.6423387075091	112.406037215365	100.661626250353	79.2361845662203	102.913320904198
D40723	49.7637030276105	42.919583615503	47.4997720332705	0	43.3861951162658	50.7641387035816	42.7673161108617	52.972224311341	42.2155675493118	57.2974519362763	42.458401021072	46.5982379950322	43.2561831741619	42.3150926011328	49.9752709752257	49.5933141938924	44.0587883645831	48.2616399018969	48.9127030530007	44.3297027720406	43.0462930643776	36.2490993918416	38.2948234766826	44.4453668591312	57.2823314287896	47.7412098757531	57.3394804718922	107.240021771006	98.9921480650213	104.323569022784	101.954624397934	78.4591991891018	88.9058910610563	105.319499059015	103.645801964216	105.804987151017	79.2845231885919	101.997083183057	97.087330079472	104.870805814574	103.28966407961	96.9707921557232	104.180924845615	87.4814669373313	101.143642096819	62.161323723828	81.7292701482053	106.252305783694	98.4193183126438	86.7844284389121	102.278602398476	91.5942017335692	75.5113666626901	94.0806856368384
D564	43.0767652742139	35.3582581268658	46.2498579462858	43.3861951162658	0	48.9263018915988	40.5526626710796	56.187302823292	38.2083068621665	57.5440960398279	38.8352423059066	44.5406731463582	38.7457043509396	36.6738722883644	45.0181447431637	46.1172923242386	32.8780263592839	45.7376104589238	50.4664463766306	41.8058184582995	33.4714268114914	37.5439625493764	36.7695298993536	39.3837892542367	55.3658607003737	46.2547748065288	59.6255697053864	115.372454923619	102.48394870027	110.277031162593	110.603107614441	83.2655011057395	95.9546311645552	112.692522251473	109.861647542478	111.15042280535	84.9381576138379	109.442045801443	104.983491712861	112.302359357603	111.270494393651	104.182504649745	109.164718296458	93.9078425610176	108.599696898156	67.6408026031203	80.7981641689076	112.678414440321	105.629374793122	91.3852043086684	110.206185310075	100.487250935991	78.1808551577149	100.419009094827
D580	44.045404558318	42.2167156955246	57.5478785457176	50.7641387035816	48.9263018915988	0	53.3999904148858	49.0283760952031	46.0057269035026	53.716762884542	43.3560023280606	39.2067259939861	40.8736738730426	37.7790578830939	45.5056290005346	37.5176196389709	41.8221839720076	48.0557750444604	66.0733426973772	44.7910150973845	38.8703830249299	35.7605305914195	42.0995432610251	43.7709413010115	64.3325701765097	49.0610887262796	69.8970141059524	119.746906178842	107.587202094098	115.891505724865	115.189194259466	90.121399981485	105.006480725959	118.481461885863	115.009076238017	116.70740499422	88.7303045746663	115.071245132598	110.795820323775	117.449788053142	116.926571988502	110.650593032002	114.312146991998	100.0623956279	114.158829702104	72.0436284620997	83.3803012004358	117.816561863378	110.594609616069	98.0298957879007	115.353614005615	109.878616821	83.0377972666681	107.345503038341
D588	43.6376605999362	36.5931288524062	37.8157010214853	42.7673161108617	40.5526626710796	53.3999904148858	0	48.4174953806134	32.7365009004034	59.2878305902986	32.7497121921315	42.872996252746	39.294553636262	38.3336035206475	40.9005531823685	44.0380126344424	37.8170309358784	39.1936504031844	43.1216128222955	36.938086258261	34.892303365677	36.0861928103492	35.2339099715762	38.2322642383964	52.6089029653935	39.9758495573371	61.878657075891	114.475532879565	102.747341663728	110.579344040376	109.635955469239	80.5281672669351	94.4601324683598	112.534168369857	109.792013046482	111.523701055219	83.5851473870723	109.036235706755	104.137084398226	111.896549262915	110.864684298964	103.853083862786	108.758908201771	93.5631059140504	108.686944305401	62.1670014611522	81.5069879733831	112.263323073151	105.041370825842	90.4389346664342	109.800375215388	96.9357786810974	75.9188665329111	99.6199134362841
D650	50.2244525110734	51.8299515985205	56.0928361879428	52.972224311341	56.187302823292	49.0283760952031	48.4174953806134	0	41.3198852750432	55.9588420254923	46.8925095550488	49.0229054998559	50.3457577111098	46.9793981243588	46.5797765259927	47.8952870302752	48.7192770398308	43.6584106758086	60.7925982155289	46.7096052046904	49.4482238438654	46.5854264223747	45.8989783859943	47.6921367052497	65.0645458123105	52.1657786676008	78.9110511518858	134.515805137813	122.876010871235	129.223729592978	128.886035451749	101.253286320922	119.089039854086	131.543799738306	128.586391588038	129.87516685091	102.162487555597	128.604168248932	123.590655678453	131.673662338642	129.995238439211	123.159117215153	128.287870941608	113.105364162706	129.514606889432	77.360640232226	94.9086552753888	131.393877213399	124.17192496609	110.108153718414	129.124658318945	120.972839753581	96.5214936572023	121.010838365322
D675	38.2138441368929	35.7681925513486	42.4490473654244	42.2155675493118	38.2083068621665	46.0057269035026	32.7365009004034	41.3198852750432	0	51.4924581523791	35.3475842371233	44.2195463361423	35.025939184452	35.8237332344166	36.0931551363969	40.3701497062947	38.7806877039602	37.8978757416208	45.2109827650431	37.6202459428893	33.7390030088813	34.2371049347681	34.0806353965894	38.5287142284553	57.89234198343	48.1103894365555	65.2378898884798	123.034238472939	110.978357698609	118.71179215223	118.476526553563	88.6201679580017	104.576396052851	121.12728324111	118.296408532114	119.585183794987	91.3531163460323	117.876806791079	112.083358915712	120.812649107013	119.705255383288	112.448392255561	117.599479286095	102.342603550654	117.050254326788	66.5848627514194	87.6278950830823	121.103894157475	113.881941910166	98.2602076364813	118.640946299712	107.141040839832	85.4601873922998	108.766513129723
D699	55.2976703588481	52.7849859093331	62.646008132705	57.2974519362763	57.5440960398279	53.716762884542	59.2878305902986	55.9588420254923	51.4924581523791	0	56.1461799340371	61.6454944778264	49.9652318118801	49.0528607074388	50.8007583775654	52.5694864052918	55.7869741142808	57.7719016998649	64.3548414869049	57.5068849695873	50.0169196225476	51.7783529573421	53.0385792670226	49.6974977764352	66.5299997053249	57.0594784026282	74.1213407167288	117.204244772322	104.367009414008	111.186929399631	113.541499916198	89.6442980844155	105.22628416153	115.12764020025	113.341362198138	116.940078791283	90.2588957125534	114.938274755732	109.926536477333	118.350547762011	115.025121781203	111.354215860175	112.268887360275	96.9275161067895	111.309668747062	75.6129567138987	92.1243855054331	115.548649218386	111.529075119158	96.6596461247751	111.842781837848	114.276286506148	90.496239457528	104.648772202437
